Sno,Country Name,Year,Urban land area where elevation is below 5 meters (sq. km) Value,Ease of doing business rank (1=most business-friendly regulations) Value,CO2 intensity (kg per kg of oil equivalent energy use) Value,"Droughts, floods, extreme temperatures (% of population, average 1990-2009) Value",Total greenhouse gas emissions (% change from 1990) Value,CO2 emissions from solid fuel consumption (kt) Value,Cereal yield (kg per hectare) Value,CO2 emissions (kg per 2015 US$ of GDP) Value,"Community health workers (per 1,000 people) Value",Average precipitation in depth (mm per year) Value,Urban population growth (annual %) Value,Population living in areas where elevation is below 5 meters (% of total population) Value,Forest area (% of land area) Value,Methane emissions (% change from 1990) Value,Forest area (sq. km) Value,Renewable energy consumption (% of total final energy consumption) Value,Population growth (annual %) Value,"Annual freshwater withdrawals, total (billion cubic meters) Value","Population, total Value",Urban population Value,Total greenhouse gas emissions (kt of CO2 equivalent) Value,#indicator+name Value,CO2 emissions from liquid fuel consumption (kt) Value,"Annual freshwater withdrawals, total (% of internal resources) Value","Primary completion rate, total (% of relevant age group) Value",Disaster risk reduction progress score (1-5 scale; 5=best) Value,Nitrous oxide emissions (thousand metric tons of CO2 equivalent) Value,"Foreign direct investment, net inflows (% of GDP) Value","School enrollment, primary and secondary (gross), gender parity index (GPI) Value",CO2 emissions from gaseous fuel consumption (% of total) Value,CO2 emissions (kg per PPP $ of GDP) Value,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population) Value,Agricultural irrigated land (% of total agricultural land) Value,Arable land (% of land area) Value,CO2 emissions (metric tons per capita) Value,Rural land area where elevation is below 5 meters (% of total land area) Value,CO2 emissions from gaseous fuel consumption (kt) Value,Land area where elevation is below 5 meters (% of total land area) Value,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent) Value",Urban population (% of total population) Value,Terrestrial and marine protected areas (% of total territorial area) Value,Agricultural land (sq. km) Value,Nitrous oxide emissions (% change from 1990) Value,Terrestrial protected areas (% of total land area) Value,Urban population living in areas where elevation is below 5 meters (% of total population) Value,Access to electricity (% of population) Value,CO2 emissions (kg per 2017 PPP $ of GDP) Value,Marine protected areas (% of territorial waters) Value,Methane emissions (kt of CO2 equivalent) Value,CO2 emissions (kt) Value,"Mortality rate, under-5 (per 1,000 live births) Value","Agriculture, forestry, and fishing, value added (% of GDP) Value",CO2 emissions from solid fuel consumption (% of total) Value,Other greenhouse gas emissions (% change from 1990) Value,SF6 gas emissions (thousand metric tons of CO2 equivalent) Value,Rural population living in areas where elevation is below 5 meters (% of total population) Value,Population in urban agglomerations of more than 1 million (% of total population) Value,"Prevalence of underweight, weight for age (% of children under 5) Value",CPIA public sector management and institutions cluster average (1=low to 6=high) Value,Rural land area where elevation is below 5 meters (sq. km) Value,CO2 emissions from liquid fuel consumption (% of total) Value,PFC gas emissions (thousand metric tons of CO2 equivalent) Value,HFC gas emissions (thousand metric tons of CO2 equivalent) Value,GHG net emissions/removals by LUCF (Mt of CO2 equivalent) Value,Agricultural land (% of land area) Value,Urban land area where elevation is below 5 meters (% of total land area) Value,RainFall Mean ()
1,Pakistan,1960,,,,,,5892.869,,,,,,,,,,,,,44988690,9944300,,,6552.929,,,,,,,8.005181347,,,,,,,1133.103,,,22.104,,,,,,,,,,,252,43.1892013,41.63212435,,,,11.5011773,,,,46.29533679,,,,,,22.96876417
2,Pakistan,1961,,,,,,5804.861,856.4,,,,4.144844066,,,,,,2.364728894,,46065229,10365137,,,6857.29,,,,,,,9.382036527,,,,39.66894977,,,1375.125,,,22.501,,357300,,,,,,,,,243,41.72742569,39.60470353,,,,11.79977419,,,,46.78508882,,,,46.3496264,,30.01744917
3,Pakistan,1962,,,,,,6189.896,858,,,494,3.536128329,,,,,,2.431187683,,47198886,10738219,,,7521.017,,,,,,,10.54189435,,,,39.81164384,,,1697.821,,,22.751,,358400,,,,,,,,,234.5,40.02923264,38.43351548,,,,12.05785662,,,,46.69854281,,,,46.49232046,,22.300155
4,Pakistan,1963,,,,,,6681.274,877.7,,,,3.583896175,,,,,,2.486694731,,48387293,11130045,,,8958.481,,,,,,,11.48742325,,,,39.86353259,,,2126.86,,,23.002,,358800,,,,,,,,,226.5,38.84001451,36.08635373,,,,12.31575612,,,,48.38581897,,,,46.54420922,,18.84656167
5,Pakistan,1964,,,,,,6523.593,886.5,,,,3.629236247,,,,,,2.53103561,,49627623,11541400,,,9068.491,,,,,,,14.04353689,,,,40.4732254,,,2673.243,,,23.256,,363550,,,,,,,,,219.3,38.3240539,34.2708534,,,,12.57540785,,,,47.64014641,,,,47.16038813,,25.16966333
6,Pakistan,1965,,,,,,6171.561,886.6,,,,3.657363596,,,,,,2.56684106,,50917975,11971325,,,9787.223,,,,,,,15.84358362,,,,41.61477792,,,3164.621,,,23.511,,372350,,,,,,,,,212.7,36.96830175,30.89774188,,,,12.83533369,,,,48.99944924,,,,48.30194064,,24.4512575
7,Pakistan,1966,,,,,,5331.818,840,,,,3.69325879,,,,,,2.601875717,,52260183,12421723,,,10498.621,,,,,,,17.58975284,,,,41.84827729,,,3575.325,,,23.769,,374150,,,,,,,,,207,33.83689668,26.2312827,,,,13.09790477,,,,51.65073065,,,,48.53544002,,22.54825917
8,Pakistan,1967,,,,,,5236.476,904.2,,,494,3.71921265,,,,,,2.63544927,,53655783,12892412,,,11151.347,,,,,,,19.32687404,,,,41.91313823,,,4169.379,,,24.028,,374700,,,,,,,,,202.1,35.05317054,24.27332993,,,,13.36241053,,,,51.69131396,,,,48.60678705,,31.15643583
9,Pakistan,1968,,,,,,5680.183,1131.6,,,,3.741297307,,,,,,2.660928079,,55102690,13383892,,,13164.53,,,,,,,18.91491254,,,,41.5239726,,,4679.092,,,24.289,,371700,,,,,,,,,197.8,36.54167537,22.96175511,,,,13.63071022,,,,53.21672102,,,,48.21762142,,18.00598667
10,Pakistan,1969,,,,,,5240.143,1192,,,,3.754747947,,,,,,2.677772853,,56598148,13895977,,,11653.726,,,,,,,24.0256763,,,,39.61706102,,,5764.524,,,24.552,,357000,,,,,,,,,193.9,33.95003507,21.84013449,,,,13.90133296,,,,48.5709919,,,,46.31070984,,18.71605667
11,Pakistan,1970,,,,,,4880.777,1229.7,,,,3.764873586,,,,,,2.691309679,,58142062,14429116,,,12420.129,,,,,0.229369018,,19.3762242,,,,39.82461602,,,4715.762,,-2825.246858,24.817,,358650,,,,,,,,,190.4,33.43176059,20.05424137,,,,14.1773902,,,,51.03209281,,,,46.52475093,,25.77336667
12,Pakistan,1971,,,1.354409614,,,4312.392,1196.6,,,,3.772130762,,,,,,2.702003076,,59734479,14983797,,,11441.04,,,,,0.009375677,0.34691,21.43651676,,,,39.33167289,,,4946.783,,-3403.022073,25.084,,354850,,,,,,,,,187.1,31.96629324,18.68743048,,,,14.45845707,,,,49.57889719,,,,46.0318078,,17.02884917
13,Pakistan,1972,,,1.082135008,,,2515.562,1284.1,,,494,3.787380895,,,,,,2.720694794,,61381982,15562174,,,9292.178,,,,,0.180562618,0.357630014,28.59356838,,,,39.35761727,,,5412.492,,-3456.353147,25.353,,355050,,,,,,,,,184,32.80229729,13.2894227,,,,14.7443789,,,,49.08950019,,,,46.05775218,,22.92349667
14,Pakistan,1973,,,1.090804069,,,2434.888,1325.8,,,,4.005986203,,,,,,2.759498486,,63099404,16198248,,,9493.863,,,,,-0.062662241,0.385250002,30.83821376,,,,40.48619759,,,6178.895,,-3063.9351,25.671,,364000,,,,,,,,,181.2,32.45866177,12.1522694,,,,14.98035703,,,,47.38286969,,,,47.21876297,,26.46456833
15,Pakistan,1974,,,1.100424475,,,2295.542,1313.9,,,,4.115554534,,,,,,2.822868355,,64905996,16878804,,,9765.221,,,,,0.044947901,0.38835001,32.73412087,,,,39.60408883,,,7011.304,,-3078.032092,26.005,,357400,,,,,,,,,178.5,31.87668838,10.71734292,,,,15.20095154,,,,45.5915083,,,,46.36259859,,17.7767225
16,Pakistan,1975,,,1.141021777,,,2368.882,1391.4,,,,4.185350702,,,,,,2.901566067,,66816875,17600233,,,11074.34,,,,,0.222605974,0.396450013,32.75426406,,,,39.9543379,,,7605.358,,-3553.43802,26.341,,360350,,,,,,,,,176,30.16018636,10.20214782,,,,15.41581674,,,,47.69425142,,,,46.74527812,,30.5011225
17,Pakistan,1976,,,1.109253748,,,2020.517,1460.7,,,,4.257189164,,,,,,2.974684748,,68834324,18365686,,,10538.958,,,,,0.062427701,0.408499986,34.98715478,,,,39.51328352,,,7990.393,,-3874.029104,26.681,,357120,,,,,,,,,173.7,29.40842564,8.84714194,,,,15.62651941,,,,46.14643545,,,,46.32627646,,33.65308583
18,Pakistan,1977,,,1.136091343,,,2310.21,1470.3,,,494,4.312467095,,,,,,3.038800442,153.647,70958168,19175026,,,10905.658,279.3581818,,,,0.100642225,0.400510013,36.38550594,,,,39.7467829,,,8874.14,,-4150.779698,27.023,,359130,,,,,,,,,171.5,29.36132703,9.472259811,,,,15.83149948,,,,44.71508044,,,,46.58701743,,24.60518417
19,Pakistan,1978,,,1.169051556,,,2357.881,1429.2,,,,4.375344141,,,,,,3.10673863,,73197254,20032624,,,12200.109,,,,,0.181192853,0.445650011,34.77833895,,,,40.40836447,,,9090.493,,-4809.488164,27.368,,364170,,,,,,,,,169.4,28.6768292,9.020763187,,,,16.03281866,,,,46.67508418,,,,47.24081569,,31.13002833
20,Pakistan,1979,,,1.194787313,,,2625.572,1540.3,,,,4.438344124,,,,,,3.178406445,,75561128,20941767,,,13072.855,,,,,0.295880697,0.458299994,34.5145379,,,,40.27864259,,,9750.553,,-5176.686719,27.715,,363370,,,,,,,,,167.2,27.77980145,9.293873313,,,,16.22881411,,,,46.27466251,,,,47.13703819,,27.368945
21,Pakistan,1980,,,1.295167041,,,3487.317,1613.1,,,,4.504844666,,,,,,3.246335661,,78054346,21906733,,,13938.267,,,,,0.269010726,0.460689992,35.99771298,,,,41.65369448,,,11543.716,,-5562.13962,28.066,,374160,,,,,,,,,165.1,26.54550579,10.87478559,,,,16.42096521,,,,43.46483705,,,,48.53673724,,24.89661667
22,Pakistan,1981,,,1.296225022,,,3619.329,1670.2,,,,4.42168876,,,,,,3.309109934,,80680461,22897115,,,14143.619,,,,,0.384634937,0.468030006,38.972391,,,,40.42133665,,,13406.552,,-5648.694229,28.38,,365040,,,,,,,,,162.9,27.46229277,10.52126639,,,,16.54413328,,,,41.11501972,,,,47.35367372,,27.62843833
23,Pakistan,1982,,,1.33002065,,,4642.422,1637.3,,,494,4.191683603,,,,,,3.353067153,154.3445,83431597,23877289,,,15823.105,280.6263636,,,,0.207749628,0.476209998,37.05738107,,,,42.9898298,,,13853.926,,-6691.12169,28.619,,385090,,,,,,,,,160.6,28.44776792,12.41785189,,,,16.53801497,,,,42.32466896,,,,49.95459734,,30.51863833
24,Pakistan,1983,,,1.359530645,,,4158.378,1675.3,,,,4.199056817,,,,,,3.363951989,,86285936,24901258,,,17480.589,,,,,0.102666736,0.462520003,36.19324902,,,,40.2656704,,,14587.326,,-6730.500323,28.859,,364090,,,,,,,,,158.2,27.27320129,10.31753253,,,,16.5303567,,,,43.3718497,,,,47.23043794,,31.63848083
25,Pakistan,1984,,,1.398835894,,,4811.104,1544.9,,,,4.171872613,,,,,,3.33680865,,89213708,25962081,,,19519.441,,,,,0.178192349,0.46322,34.09771541,,,,41.65369448,,,14612.995,,-6421.646046,29.101,,375000,,,,,,,,,155.7,24.90459788,11.22614871,,,,16.52819766,,,,45.54633353,,,,48.64570361,,23.49638333
26,Pakistan,1985,,,1.462053197,,,5801.194,1601.9,,,,4.114884094,,,,,,3.283328475,,92191505,27052675,,,21866.321,,,,,0.421864139,0.471890002,32.82549553,,,,41.13480697,,,15485.741,,-7617.325557,29.344,,371180,,,,,,,,,153.1,25.68912459,12.29692965,,,,16.53362314,,,,46.35056354,,,,48.15016604,,20.7937675
27,Pakistan,1986,,,1.468632229,,,6274.237,1833.3,,,,4.055422175,,,,,,3.22734412,,95215375,28172325,,,22937.085,,,,,0.331452709,0.487489998,32.84888032,,,,39.09817352,,,16244.81,,-734.9985258,29.588,,355710,,,,,,,,,150.5,25.03265103,12.6872312,,,,16.54933145,44.4,,,46.3814326,,,,46.14336862,,29.1173075
28,Pakistan,1987,,,1.44706469,,,6442.919,1628.2,,,494,3.998402575,,,,,,3.173774348,155.042,98285762,29321591,,,25063.945,281.8945455,,,,0.387921173,0.488029987,31.37886157,,64.1,,40.53808634,,,16798.527,,-7437.265049,29.833,,366710,,,,,,,,,147.8,23.63545213,12.0350709,,,,16.57419312,,,,46.81827522,,,,47.57030926,,19.93579917
29,Pakistan,1988,,,1.498997696,,,7113.98,1702.4,,,,3.933673932,,,,,,3.109137704,,101389603,30497993,,,27352.153,,,,,0.484736839,0.498149991,31.37007874,,,,38.81278539,,,18261.66,,-639.5526664,30.08,,353470,,,,,,,,,145.1,23.15332349,12.22047244,,,,16.61085309,,,,46.98582677,,,,45.85279161,,26.93608833
30,Pakistan,1989,,,1.485952274,,,7088.311,1779.7,,,,3.851759127,,,,,,3.033970861,,104512874,31695619,,,29442.343,,,,,0.524258349,0.494610012,34.39812308,,,,39.44842258,,,20967.906,,-666.5502445,30.327,,358600,,,,,,,,,142.5,23.91363374,11.62846658,,,,16.65885391,,,,48.30054743,,,,46.51826484,,26.21584167
31,Pakistan,1990,142.1516876,,1.423085216,,,8536.776,1766.4,0.613352057,,,3.773260285,1.051627031,0.187759444,,1447.4,57.50053324,2.955562318,,107647918,32914427,159850,,33153.347,,,,27740,0.612997662,0.497209996,37.89533661,0.253568749,60.6,,38.5922582,0.548361744,1.515966114,23135.103,1.534015255,-2540.634766,30.576,,352060,,,0.624409833,,0.167060982,,72879.99725,59030,139.7,23.06707339,13.98325307,,1009,0.427217198,16.72114179,,,11939.46777,54.30523669,0,0,,45.66988377,0.018049141,32.24276167
32,Pakistan,1991,,,1.370999298,,1.975849083,8030.73,1805.8,0.576726104,,,3.681133722,,6.407270911,2.095745079,49392.37,58.09129374,2.866822818,,110778655,34148628,163210.0067,,32339.273,,,,28110,0.566385003,,39.8013298,0.238519818,,,38.67009132,0.544418959,,24004.182,,-4470.945801,30.826,,352700,1.506505556,,,,0.162460468,,74559.99756,60310,136.9,22.84244562,13.31575195,-7.689892981,,,16.79883819,38.4,,,53.62174266,,,,45.75290577,,24.05054083
33,Pakistan,1992,,,1.428208645,,7.327168229,8368.094,1884.7,0.594150856,0.033,494,3.599395864,,6.345584267,3.057776975,48916.84,55.98220548,2.788443651,157.4844444,113911126,35400161,172789.9933,,35001.515,286.3353535,,,29740,0.688314541,,38.16047221,0.240466568,,,38.81278539,0.588002264,,25536.988,,-4335.169922,31.077,,353800,13.38475476,,,,0.167518983,,75819.99969,66980,134.1,23.31001292,12.50462343,-18.40081535,,,16.89118936,35.3,,,52.30351913,,,,45.89559983,,31.54837833
34,Pakistan,1993,,,1.497664058,,12.91903557,8470.77,1959.5,0.643393165,0.034,,3.557214785,,6.283897623,7.281092593,48441.31,54.14818931,2.749596734,,117086680,36682086,182539.9933,,38415.492,,,,30560,0.672760661,,36.57551532,0.254173318,,,39.2149232,0.629875234,,26970.785,,-3253.786133,31.329,,357500,17.46390051,,,,0.181264778,,77949.99695,73750,131,22.19793997,11.48734744,-35.06225014,,,16.98937488,,,,52.09586656,,,,46.37557078,,20.73338917
35,Pakistan,1994,,,1.487525572,,16.52363287,9215.171,1840.9,0.641324355,0.034,,3.563884867,,6.22221098,8.779201787,47965.78,54.19575992,2.759570074,,120362764,38012968,189169.9982,,43021.244,,,,33470,0.805119155,,37.45870557,0.248025288,,,39.24086758,0.63350157,,28562.263,,-4416.808594,31.582,,357900,25.68454987,,,,0.180657428,,79139.99939,76250,127.8,22.75282452,12.08547016,-49.16038727,,,17.08750391,,,,56.42130361,,,6.5271,46.42745953,,35.2729825
36,Pakistan,1995,,,1.545258036,,21.26827558,8338.758,2050.4,0.662927892,0.034,,3.598039588,,6.160524336,11.448576,47490.25,53.12287602,2.797001049,,123776835,39405593,199940.0024,,43728.975,,,,35810,1.191752908,,34.00607277,0.251144952,,,39.51328352,0.668461106,,28133.224,,-3398.147461,31.836,,360260,28.63974129,,,,0.186765594,,81059.99756,82740,124.5,23.42187937,10.07948507,-61.51914385,,,17.18006524,34.2,,,52.857458,,,,46.73360315,,29.38667
37,Pakistan,1996,,,1.523143006,,27.54491788,9365.518,2046.3,0.655899808,0.035,,3.646247846,,6.098837692,16.33582137,47014.72,52.16974292,2.845342336,,127349293,40868935,207029.9988,,50219.565,,,,36000,1.456055582,,35.45649732,0.243985098,18.3,,39.63003321,0.673894593,,30428.766,,-6710.006836,32.092,,361720,34.6598807,,,,0.18476325,,84739.99786,85820,121.1,23.19579581,10.91297833,-61.42759751,,,17.26587677,,,,58.51732114,,,,46.92299709,,28.55422917
38,Pakistan,1997,,,1.544204576,,30.92102022,8580.78,2044.2,0.675794163,0.036,494,3.664740714,,6.037151048,19.07787657,46539.19,51.93672445,2.870198956,166.9066667,131057432,42394458,213710.0067,,49398.157,303.4666667,,,37140,1.147229318,,36.09934057,0.247234691,,,40.2656704,0.681838478,,32243.931,,-6417.662109,32.348,,366690,37.27655798,,,,0.190452629,,86580.00183,89360,117.6,24.48425079,9.606784595,-62.61769999,,,17.34651569,,,,55.30469884,,,,47.56771482,,30.67739583
39,Pakistan,1998,,,1.525873308,,35.79021378,8188.411,2200.3,0.665259576,0.038,,3.577708353,,5.975464404,22.5313244,46063.66,51.6034781,2.84772273,,134843233,43938667,217490.0055,,52621.45,,,,37640,0.813610046,,35.94204946,0.24061747,25.4,,40.3694479,0.668850768,,32408.946,,-7328.951172,32.585,,367600,40.73884828,,,70.46,0.18744141,,88889.99939,90190,114.2,25.30313827,9.081081291,246.1303223,,,17.40839824,,,,58.35804591,,,,47.68576173,,25.0761675
40,Pakistan,1999,,,1.582644536,,42.92102763,8599.115,2217.8,0.702836664,0.039,,3.371491731,,5.91377776,26.21052377,45588.13,50.2344767,2.765687388,,138624625,45445311,230500,,52489.438,,,,38990,0.844795025,,34.93954734,0.250671272,,,40.35647572,0.712499673,,34502.803,,-7787.601563,32.783,,367560,46.56468662,,,70.26535034,0.198025194,,91819.99969,98770,110.9,25.16928551,8.707964557,161.3968562,,,17.43670867,,,,53.15386127,,,,47.68057285,,21.1350625
41,Pakistan,2000,142.1516876,,1.535523366,,43.34798707,8195.745,2404.5,0.671524541,0.039,,3.25258685,1.058063042,5.852091117,28.98121087,45112.6,51.05,2.647399315,,142343583,46947761,232809.9976,,55437.706,,,,39910,0.375528498,,37.00177087,0.234150315,,,40.2656704,0.691074356,1.515966114,36398.642,1.534015255,-8845.192383,32.982,,366980,42.86842826,,0.632048004,70.31060028,0.189164649,,93459.99908,98370,107.8,25.61725958,8.331549253,-30.71818382,347.2,0.426015038,17.48735944,,,11939.46777,56.35631392,0,0,,47.60533416,0.018049141,15.98308
42,Pakistan,2001,,,1.53299202,,45.22331937,8049.065,2230.5,0.657967799,0.04,,3.120030831,,5.797928342,31.06252987,44695.07,51.54,2.521498668,,145978408,48435636,236220.0012,,55133.345,,,,40340,0.475564993,,37.95956718,0.224435813,28.2,48.19863681,40.60294728,0.683936764,,37887.444,,-9873.901367,33.18,,369720,35.02175802,,,70.36153412,0.185401501,,94860.00061,99840,105,24.19827461,8.064387336,-46.17907985,,,17.55975308,31.2,,,55.23829777,,,,47.9607721,,19.48818167
43,Pakistan,2002,,,1.553779687,,48.91464509,10087.917,2260.2,0.65788052,,494,3.017965025,,5.743765567,35.33749303,44277.54,51.39,2.417002526,175.1115,149549695,49919688,242589.9963,,53703.215,318.3845455,,,41520,1.033727741,,43.79968035,0.220960663,,48.91009652,40.49916978,0.684254166,,44807.073,,-7952.841797,33.38,,368840,36.70558851,,,70.40487671,0.185375555,,97459.99908,102330.0018,102.4,23.06293464,9.861111437,-42.9866757,,,17.65252881,,,,52.49581134,,,,47.84661685,,17.45571333
44,Pakistan,2003,,,1.535143854,,57.41125653,13204.867,2320.6,0.642377934,,,2.93929952,,5.689602792,42.50868317,43860.01,50.09,2.341925761,,153093371,51408754,251929.9927,,44249.689,,,,42690,0.581949477,,52.01337214,0.21151612,,49.45442701,40.46025322,0.690167072,,54957.329,,-8510.510742,33.58,,368420,39.67859646,,,70.44299316,0.180954221,,102169.9982,105660.0037,100.2,22.8647397,12.49750804,-37.79743522,,,17.76006618,,,,41.87931952,,,,47.79213367,,32.17392417
45,Pakistan,2004,,,1.607996632,,68.65364015,16919.538,2430.7,0.670733527,,,2.902770599,,5.635440017,47.86505124,43442.48,47.93,2.305983677,,156664698,52922902,269649.9939,,46372.882,,,,44080,1.037493764,,51.26691614,0.215079173,16.7,52.10153974,39.31870071,0.757349952,,60828.196,,-9078.939453,33.781,,360450,43.84598447,,,70.47821808,0.188941827,,105410.0037,118650.0015,98.1,23.08295419,14.26004046,-26.60465867,,,17.87636676,,,,39.08376064,,,,46.75825031,,21.4776975
46,Pakistan,2005,,,1.590215554,,73.35988801,16204.473,2615.8,0.645713112,,,2.889667389,,5.581277242,52.71155121,43024.95,47.96,2.296421618,,160304007,54474508,278290.0085,,48404.4,,60.16038895,,46380,1.833321933,,52.23071423,0.200760557,16.6,52.77352982,39.13709008,0.758995364,,63549.11,,-8105.489258,33.982,,359650,46.8122692,,,70.51290131,0.181893713,,108629.9973,121669.9982,96.3,22.96041898,13.31838004,-7.782437182,819.4,,17.99464938,,3.2,,39.7833484,0,0,,46.65447281,,26.97424
47,Pakistan,2006,,,1.662120614,,82.06444198,17704.276,2554,0.663918272,,,2.885903654,,5.527114467,56.73653585,42607.42,47.04,2.293232554,,164022626,56069494,297760.0098,,54264.266,,59.22394943,,47940,3.112977982,0.783940017,48.16535854,0.200242136,,52.94036253,39.33167289,0.80769342,,63809.467,,-8331.207031,34.184,,361350,50.18245139,,,70.54946899,0.187022,,115489.9979,132479.9957,94.5,21.60797745,13.3637349,-14.71809814,,,18.11601163,,3.2,,40.96034571,,,,46.875,,30.47072917
48,Pakistan,2007,,,1.741676611,,94.96227121,23127.769,2743.9,0.699185823,,494,2.873760759,,5.472951692,61.78676281,42189.89,44.85,2.281671865,181.94625,167808106,57704173,315220.0012,,57923.932,330.8113636,59.21292114,,48040,3.668322816,0.804989994,44.44476207,0.205329965,11.9,53.03640352,39.15006227,0.871590759,,65004.909,,-9707.994141,34.387,,360130,54.94786983,,,70.59054565,0.196956667,,118849.9985,146259.9945,92.7,21.80047244,15.81277793,-4.880692684,,,18.24128806,,3.2,,39.60339943,,,,46.71673931,,26.53999583
49,Pakistan,2008,,,1.721755412,,96.20364939,18925.387,2653.7,0.668216976,0.061,,2.851655189,,5.418788917,65.89654193,41772.36,46.63,2.263050049,,171648984,59373384,317670.0134,,58976.361,,58.97401047,,50100,3.197360002,0.811029971,46.29148987,0.192542517,,54.62577521,38.21606476,0.828201836,,65807.982,,-9573.205078,34.59,,353130,53.8376981,,,70.63886261,0.188232931,,123099.9985,142160.0037,90.9,22.50026603,13.31273706,8.921658208,951.6,,18.37260918,,3,,41.48590391,0,0,,45.80868618,,28.10298917
50,Pakistan,2009,,,1.731807086,1.055342391,98.92300423,18525.684,2789.7,0.663438038,0.064,,2.81849362,,5.364626142,69.98099282,41354.83,46.43,2.233335732,,175525610,61070625,328279.9988,,58356.638,,59.39558029,,54370,1.390402267,0.830179989,46.19247692,0.189948009,,55.0500326,38.16417601,0.826887879,,67043.761,,-9045.428711,34.793,,352770,59.65832595,,,70.69711304,0.186886726,,126250,145139.9994,89.1,22.71733001,12.76400992,6.100932226,,,18.50987386,,3,,40.20713656,,,,45.7619863,,23.55043333
51,Pakistan,2010,142.1516876,,1.653957567,,105.4627529,17440.252,2611,0.632612902,0.068,,2.781647488,1.064888293,5.310463367,70.94566766,40937.3,47.4,2.197034544,,179424643,62793242,322350.0061,,62195.987,,62.30638885,,53510,1.141304858,0.821619987,53.24216968,0.178971636,7.4,55.72895976,38.12525944,0.783727323,1.515966114,74869.139,1.534015255,-8719.962891,34.997,,352420,62.93085336,,0.642210935,70.76802063,0.178203455,,125459.9991,140619.9951,87.1,23.28158964,12.40239795,6.065046058,1036,0.422677358,18.65672655,,3.1,11939.46777,44.22983004,0,0,,45.71658364,0.018049141,32.0799
52,Pakistan,2011,,,1.653515031,,110.0680342,17179.895,2953.4,0.620157181,0.073,,2.742852677,,5.268659195,72.65512434,40615.04,46.76,2.158796524,,183340168,64539406,331209.9915,,60553.171,,60.40692902,3.5,54510,0.6208231,0.817269981,56.01469359,0.171949511,7.2,51.95347284,39.04628477,0.772880261,,79339.212,,-7186.902344,35.202,,359360,64.5601619,,,70.85427856,0.174768754,,131570.0073,141699.9969,85,25.12918271,12.12926786,6.065046058,,,18.81297883,31.4,3,,42.75146216,,,,46.61685347,,26.79003
53,Pakistan,2012,,,1.658956931,,114.275183,14708.337,2862.6,0.608070383,,494,2.709711009,,5.226855023,74.36458102,40292.78,47.2,2.126222177,187.88,187280125,66312147,335269.989,,63695.79,341.6,63.48620987,,53140,0.382826517,0.817430019,53.33539896,0.16976851,,51.46549095,39.22789539,0.767887129,,76669.636,,-3939.679688,35.408,,360630,66.18947043,,,70.95861053,0.171361465,,134240.0055,143809.9976,82.8,23.71024867,10.23188661,6.065046058,,,18.97856219,,3,,44.31011478,,,,46.78160025,,22.83523417
54,Pakistan,2013,,,1.634868217,,,13670.576,3001.3,0.587932748,,,2.680539204,,5.185050851,,39970.52,48.13,2.103244584,,191260799,68113708,346880.0049,,69500.651,,63.74631119,,56510,0.576510795,0.814499974,52.37416127,0.165343089,5.7,49.44873208,39.52625571,0.763669285,,75994.908,,-4301.826172,35.613,,362800,,,,71.0827713,0.166713058,,139559.9976,146059.9976,80.6,23.83211646,9.421485872,,,,19.14948917,31.8,3,,47.89845003,,,,47.06309672,,29.1535375
55,Pakistan,2014,,,1.709590988,,,18859.381,3001.2,0.594850146,,,2.669230486,,5.143246679,,39648.26,47.22,2.092456416,,195305012,69956302,360109.9854,,72943.964,,64.54271698,,57070,0.772218504,0.829810023,48.59186634,0.165541396,,51.27992938,39.48733914,0.789739106,,74671.121,,3535.160156,35.819,,362520,,,,71.22473907,0.168187456,,143399.9939,154240.0055,78.3,23.74454012,12.27264983,,,,19.32592698,,3,,47.46792738,,,,47.0267746,,22.957235
56,Pakistan,2015,,,,,,19292.087,2942.4,0.604643476,0.087,,2.664794172,,5.101442507,,39326,45.88,2.088551827,,199426953,71845554,374510.0098,,77168.348,,,,58250,0.618355973,0.832499981,46.13619048,0.167213789,3.8,51.73747307,39.43545039,0.823008136,,75474.194,,6549.839844,36.026,,362020,,,,71.38154602,0.170886868,,146050.0031,164130.0049,76,23.81706316,11.79295006,,,,19.50585185,,3.1,,47.17180023,,,,46.96191366,,33.14083917
57,Pakistan,2016,,,,,,24682.577,3020.7,0.632449294,,,2.662027388,,5.017953508,,38682.4,43.69,2.086326177,,203631356,73783786,399109.9854,,83020.88,,64.95687103,,60970,0.821350368,0.839510024,41.5256222,0.179187378,,50.55443822,40.20080946,0.889401339,,74982.816,,10236.18359,36.234,9.794907882,367940,,12.31,,71.5502243,0.178690159,0.766350953,149350.0061,181110.0006,73.8,22.3283302,13.6692568,,,,19.68982616,,3.1,,45.97711691,,,,47.72986716,,23.913655
